動画ID,タイトル,1週間前再生数,現在再生数,増加数,投稿日,チャンネル
OyrbedPzE6c,とても素敵な六月でした / Eight【Covered by Kotoha】,869759,873292,3533,2023/06/30,Kotoha
ys1NW9FmPCQ,水平線／back number【Covered by Hanon】,1378934,1382467,3533,2021/05/28,Hanon
lKX2ZoAgApQ,ケセラセラ／Mrs. GREEN APPLE【Covered by Hanon】,808986,812381,3395,2023/09/06,Hanon
BKfwGa7WL5E,もしもし♡／UNIS【ハコニワリリィver.】,78393,81768,3375,2025/10/31,MARUMOCHI from HoneyWorks
zzc2EjlICUg,別れ／夜のひと笑い【Hanon×Kotoha】,876807,880140,3333,2022/09/11,MARUMOCHI from HoneyWorks
jXT5KvkHLCw,雪の華／中島美嘉【Covered by Hanon】,519121,522436,3315,2021/01/26,Hanon
oK_AxMSxlkg,死ぬのがいいわ / 藤井風【covered by Kotoha】,318295,321595,3300,2023/09/07,Kotoha
l3gfijNeq_I,プレイ / Giga【Covered by Kotoha】,127252,130528,3276,2025/08/17,Kotoha
GAXBbaE0wao,Overdose / なとり【Covered by Kotoha】,736044,739296,3252,2022/11/03,Kotoha
UwWiXJ41uzo,恋色 / もさを。【Covered by Kotoha】,839541,842773,3232,2021/09/27,Kotoha
NUPCiV1pIwc,「パニシング：グレイレイヴン」セレーナ・希声イメージ曲『Dear You あなたへ』【Covered by Hanon】,103362,106591,3229,2025/04/27,Hanon
TI43_Sy8QAM,CITRUS／Da-iCE【Covered by Hanon】,1946701,1949926,3225,2021/06/21,Hanon
BjLWCcdFKQs,ただ君に晴れ / ヨルシカ【Covered by Kotoha】,1147436,1150658,3222,2020/09/29,Kotoha
IC7f_cBtus8,スパークル / 幾田りら【Covered by Kotoha】,1034247,1037417,3170,2022/01/31,Kotoha
o_t0IrmnfeU,回る空うさぎ / Orangestar【Covered by Kotoha】,1195596,1198712,3116,2021/05/07,Kotoha
WuNXkeFXp_U,私は最強／Ado（ウタ from ONE PIECE FILM RED）【Covered by Hanon】,1348459,1351571,3112,2022/08/20,Hanon
yKLJQl8tG6Q,ワライカタ／夜のひと笑い【Hanon×Kotoha ver.】,2317427,2320527,3100,2021/11/12,MARUMOCHI from HoneyWorks
T9BY8ReZh1I,青空のラプソディ／fhána 【Hanon × Kotoha】,1415877,1418971,3094,2021/08/08,Kotoha
KSsqnp53Ld0,白い恋人達 / 桑田佳祐【Covered by Kotoha】,391824,394917,3093,2021/12/25,Kotoha
eIHqx62yDBQ,元彼女のみなさまへ ‐acoustic arrange ver.‐ / コレサワ【covered by Kotoha】,315670,318760,3090,2024/12/18,Kotoha
nN8Rxur8M3M,コネクト／ClariS【Hanon×Kotoha】,640737,643806,3069,2023/05/05,MARUMOCHI from HoneyWorks
srzVhDN2zME,シャッター / 優里【Covered by Kotoha】,1674385,1677413,3028,2021/07/15,Kotoha
WmU5hyWWRYw,テトリス / 柊マグネタイト【Covered by Kotoha】,235723,238691,2968,2025/04/30,Kotoha
2A83v4N-G6k,夜撫でるメノウ / Ayase 【Covered by Kotoha】,1145982,1148941,2959,2021/09/22,Kotoha
OhSjWdZwgaQ,ちゅ、多様性。／ano【Covered by Hanon】,370454,373408,2954,2023/01/23,Hanon
20DjcAiXG3U,ザムザ／てにをは【Hanon×konoco】,360372,363309,2937,2023/06/30,Hanon
fAOHiwrKIxs,【オリジナルMV】快晴 / Orangestar【Covered by Kotoha】,922210,925146,2936,2020/08/24,Kotoha
QlGMxmAbPgU,ファンサ / HoneyWorks【covered by Kotoha】,356955,359888,2933,2024/03/03,Kotoha
3Kr4Vr7lmKU,トウキョウ・シャンディ・ランデヴ / MAISONdes【Covered by Kotoha】,1002635,1005559,2924,2022/12/25,Kotoha
2kPfpQ4t6BQ,【誕生日記念】Stellar Stellar／星街すいせい【Covered by Hanon】,148968,151813,2845,2025/03/06,Hanon
wJ8tEU0vOrM,神っぽいな / ピノキオピー【Covered by Kotoha】,1337102,1339939,2837,2021/12/19,Kotoha
0ShA8PZqsjg,恋風／幾田りら【Covered by Hanon】,115378,118202,2824,2025/08/01,Hanon
8MiqsC9bjJA,ファンサ／HoneyWorks feat.ハコニワリリィ,176857,179659,2802,2025/02/12,MARUMOCHI from HoneyWorks
X6uvdJhEb1s,Mela!／緑黄色社会【Covered by Hanon】,1031460,1034226,2766,2021/02/23,Hanon
EEUz03MGsW8,【誕生日記念】ODDS&ENDS／ryo（supercell）【Covered by Hanon】,370654,373409,2755,2024/03/06,Hanon
Mgy2mM1ptss,【誕生日記念】LIFE／傘村トータ【Covered by Hanon】,264503,267185,2682,2023/03/06,Hanon
r6sJl0ilLrs,orion / 米津玄師【Covered by Kotoha】,830318,832987,2669,2020/12/12,Kotoha
pepS03cgX1s,勇者 / YOASOBI【covered by Kotoha】,601638,604288,2650,2023/12/03,Kotoha
c_ckHQOh6cc,紡ぎ／Hanon【Music Video】,139541,142132,2591,2025/02/28,Hanon
9Pl-tHty_r8,エンパープル／はるまきごはん【Covered by Hanon】,233474,236012,2538,2024/07/16,Hanon
5bUwPO-8W8s,可愛いあの子が気にゐらない / なるみや【covered by Kotoha】,346488,349021,2533,2024/01/08,Kotoha
zdsJ1cnN82o,好きにさせた癖に / あれくん【Covered by Kotoha】,765872,768386,2514,2020/11/16,Kotoha
xn3IjKqTiNI,ブラッディ・グルービー / ChroNoiR(cover)【Hanon×Kotoha】,510393,512906,2513,2024/02/28,Kotoha
Kju_tIJcP5k,愛に出会い恋は続く／HoneyWorks feat.ハコニワリリィ,230992,233502,2510,2024/12/10,MARUMOCHI from HoneyWorks
Wg0FqDvks4M,【誕生日記念】僕のこと／Mrs. GREEN APPLE【Covered by Hanon】,669812,672309,2497,2022/03/06,Hanon
WPexJDbeYjw,晩餐歌／tuki.【Covered by Hanon】,788572,791043,2471,2023/12/15,Hanon
pTkGRgpXDUY,虹／菅田将暉【Covered by Hanon】,1701272,1703725,2453,2020/12/21,Hanon
bh8MATKKLAU,「鬼滅の刃-遊郭編-OP」残響散歌／Aimer【Covered by Hanon】zankyosanka,1628401,1630839,2438,2021/12/30,Hanon
PctDNDiawnw,糸／中島みゆき【Covered by Hanon】,671111,673513,2402,2020/09/26,Hanon
a-bBphBRSFw,ミックスナッツ／Official髭男dism【Covered by Hanon】『SPY×FAMILY OP主題歌』Mixed Nuts,1462474,1464868,2394,2022/05/10,Hanon
bDzAAI-KDc0,映画「時をかける少女」変わらないもの／奥華子【Covered by Hanon】,650183,652571,2388,2021/07/30,Hanon
D5f_AQsl3c8,セブンティーン / YOASOBI【covered by Kotoha】,567704,570088,2384,2023/07/28,Kotoha
D1tE6HjBsPI,魔法の絨毯／川崎鷹也【Covered by Hanon】,794727,797111,2384,2020/11/11,Hanon
